WARNING 2024-06-11 10:57:13,888 Not Found: /course/list/vendor/wow/wow.min.js
WARNING 2024-06-11 10:57:13,890 "GET /course/list/vendor/wow/wow.min.js HTTP/1.1" 404 9425
WARNING 2024-06-11 10:57:14,187 Not Found: /course/list/vendor/bootstrap-4.1/popper.min.js
WARNING 2024-06-11 10:57:14,198 "GET /course/list/vendor/bootstrap-4.1/popper.min.js HTTP/1.1" 404 9464
WARNING 2024-06-11 10:57:14,496 Not Found: /course/list/vendor/slick/slick.min.js
WARNING 2024-06-11 10:57:14,504 "GET /course/list/vendor/slick/slick.min.js HTTP/1.1" 404 9437
WARNING 2024-06-11 10:57:14,800 Not Found: /course/list/vendor/bootstrap-progressbar/bootstrap-progressbar.min.js
WARNING 2024-06-11 10:57:14,800 "GET /course/list/vendor/bootstrap-progressbar/bootstrap-progressbar.min.js HTTP/1.1" 404 9533
WARNING 2024-06-11 10:57:15,107 Not Found: /course/list/vendor/counter-up/jquery.waypoints.min.js
WARNING 2024-06-11 10:57:15,112 "GET /course/list/vendor/counter-up/jquery.waypoints.min.js HTTP/1.1" 404 9485
WARNING 2024-06-11 10:57:15,416 Not Found: /course/list/vendor/counter-up/jquery.counterup.min.js
WARNING 2024-06-11 10:57:15,418 "GET /course/list/vendor/counter-up/jquery.counterup.min.js HTTP/1.1" 404 9485
WARNING 2024-06-11 10:57:15,721 Not Found: /course/list/vendor/circle-progress/circle-progress.min.js
WARNING 2024-06-11 10:57:15,730 "GET /course/list/vendor/circle-progress/circle-progress.min.js HTTP/1.1" 404 9497
WARNING 2024-06-11 10:57:15,935 Not Found: /course/list/vendor/perfect-scrollbar/perfect-scrollbar.js
WARNING 2024-06-11 10:57:15,936 "GET /course/list/vendor/perfect-scrollbar/perfect-scrollbar.js HTTP/1.1" 404 9497
WARNING 2024-06-11 10:57:16,234 Not Found: /course/list/vendor/chartjs/Chart.bundle.min.js
WARNING 2024-06-11 10:57:16,235 "GET /course/list/vendor/chartjs/Chart.bundle.min.js HTTP/1.1" 404 9464
WARNING 2024-06-11 10:57:16,545 Not Found: /course/list/vendor/select2/select2.min.js
WARNING 2024-06-11 10:57:16,548 "GET /course/list/vendor/select2/select2.min.js HTTP/1.1" 404 9449
WARNING 2024-06-11 10:57:16,806 Not Found: /course/list/vendor/vector-map/jquery.vmap.js
WARNING 2024-06-11 10:57:16,811 "GET /course/list/vendor/vector-map/jquery.vmap.js HTTP/1.1" 404 9458
WARNING 2024-06-11 10:57:17,025 Not Found: /course/list/vendor/vector-map/jquery.vmap.min.js
WARNING 2024-06-11 10:57:17,026 "GET /course/list/vendor/vector-map/jquery.vmap.min.js HTTP/1.1" 404 9470
WARNING 2024-06-11 10:57:17,257 Not Found: /course/list/vendor/vector-map/jquery.vmap.sampledata.js
WARNING 2024-06-11 10:57:17,258 "GET /course/list/vendor/vector-map/jquery.vmap.sampledata.js HTTP/1.1" 404 9491
WARNING 2024-06-11 10:57:17,475 Not Found: /course/list/vendor/vector-map/jquery.vmap.world.js
WARNING 2024-06-11 10:57:17,476 "GET /course/list/vendor/vector-map/jquery.vmap.world.js HTTP/1.1" 404 9476
WARNING 2024-06-11 10:57:17,693 Not Found: /course/list/js/main.js
WARNING 2024-06-11 10:57:17,694 "GET /course/list/js/main.js HTTP/1.1" 404 9392
ERROR 2024-06-11 10:59:03,503 Internal Server Error: /course/list/
Traceback (most recent call last):
  File "/home/lanlokun/Desktop/smahs/venv/lib/python3.10/site-packages/django/core/handlers/exception.py", line 47, in inner
    response = get_response(request)
  File "/home/lanlokun/Desktop/smahs/venv/lib/python3.10/site-packages/django/core/handlers/base.py", line 204, in _get_response
    response = response.render()
  File "/home/lanlokun/Desktop/smahs/venv/lib/python3.10/site-packages/django/template/response.py", line 105, in render
    self.content = self.rendered_content
  File "/home/lanlokun/Desktop/smahs/venv/lib/python3.10/site-packages/django/template/response.py", line 81, in rendered_content
    template = self.resolve_template(self.template_name)
  File "/home/lanlokun/Desktop/smahs/venv/lib/python3.10/site-packages/django/template/response.py", line 63, in resolve_template
    return select_template(template, using=self.using)
  File "/home/lanlokun/Desktop/smahs/venv/lib/python3.10/site-packages/django/template/loader.py", line 42, in select_template
    return engine.get_template(template_name)
  File "/home/lanlokun/Desktop/smahs/venv/lib/python3.10/site-packages/django/template/backends/django.py", line 34, in get_template
    return Template(self.engine.get_template(template_name), self)
  File "/home/lanlokun/Desktop/smahs/venv/lib/python3.10/site-packages/django/template/engine.py", line 143, in get_template
    template, origin = self.find_template(template_name)
  File "/home/lanlokun/Desktop/smahs/venv/lib/python3.10/site-packages/django/template/engine.py", line 125, in find_template
    template = loader.get_template(name, skip=skip)
  File "/home/lanlokun/Desktop/smahs/venv/lib/python3.10/site-packages/django/template/loaders/base.py", line 29, in get_template
    return Template(
  File "/home/lanlokun/Desktop/smahs/venv/lib/python3.10/site-packages/django/template/base.py", line 155, in __init__
    self.nodelist = self.compile_nodelist()
  File "/home/lanlokun/Desktop/smahs/venv/lib/python3.10/site-packages/django/template/base.py", line 193, in compile_nodelist
    return parser.parse()
  File "/home/lanlokun/Desktop/smahs/venv/lib/python3.10/site-packages/django/template/base.py", line 478, in parse
    raise self.error(token, e)
